Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 117.0.0.0,,,2023-10-09 17:22:26,2023-10-09 17:27:33,"5m - 7,333s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 117.0.0.0,,,2023-10-09 17:22:26,2023-10-09 17:25:17,"2m - 50,909s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:22:27,2023-10-09 17:22:53,"25,825s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:22:53,2023-10-09 17:23:29,"36,242s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:23:29,2023-10-09 17:24:22,"52,839s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:24:22,2023-10-09 17:25:15,"52,960s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_13,37""))",Chrome 117.0.0.0,,,2023-10-09 17:25:15,2023-10-09 17:25:16,"0,967s",PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 17:25:16,2023-10-09 17:25:17,"1,175s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 117.0.0.0,,,2023-10-09 17:25:17,2023-10-09 17:25:46,"29,177s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:25:17,2023-10-09 17:25:32,"14,591s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 117.0.0.0,,,2023-10-09 17:25:32,2023-10-09 17:25:35,"3,067s",PASSED
"setText(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/input_2023 Modelo Continente Hipermercados,_958617""), ""queijo"")",Chrome 117.0.0.0,,,2023-10-09 17:25:35,2023-10-09 17:25:37,"2,110s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/span_O que procura_svg-wrapper svg-icon-search""))",Chrome 117.0.0.0,,,2023-10-09 17:25:37,2023-10-09 17:25:46,"9,393s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 117.0.0.0,,,2023-10-09 17:25:46,2023-10-09 17:26:02,"15,459s",PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 17:25:46,2023-10-09 17:25:50,"3,696s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 117.0.0.0,,,2023-10-09 17:25:50,2023-10-09 17:25:54,"4,342s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 117.0.0.0,,,2023-10-09 17:25:54,2023-10-09 17:26:02,"7,399s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 117.0.0.0,,,2023-10-09 17:26:02,2023-10-09 17:26:47,"45,558s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:02,2023-10-09 17:26:10,"8,641s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:10,2023-10-09 17:26:43,"32,679s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho_2""))",Chrome 117.0.0.0,,,2023-10-09 17:26:43,2023-10-09 17:26:46,"2,616s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/button_Quantidade no carrinho_increase-quan_d2e8f5""))",Chrome 117.0.0.0,,,2023-10-09 17:26:46,2023-10-09 17:26:47,"1,589s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 117.0.0.0,,,2023-10-09 17:26:47,2023-10-09 17:27:33,"45,507s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:47,2023-10-09 17:26:59,"11,846s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:59,2023-10-09 17:27:30,"30,374s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho""))",Chrome 117.0.0.0,,,2023-10-09 17:27:30,2023-10-09 17:27:33,"3,270s",PASSED
