Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-16 16:36:15,2023-10-16 16:39:54,"3m - 39,522s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-16 16:36:16,2023-10-16 16:36:28,"12,432s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-16 16:36:17,2023-10-16 16:36:22,"5,584s",PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-16 16:36:22,2023-10-16 16:36:22,"0,316s",PASSED
"navigateToUrl(""www.continente.pt"")",Chrome 118.0.0.0,,,2023-10-16 16:36:22,2023-10-16 16:36:24,"1,384s",PASSED
"click(findTestObject(""Page_Continente_Online/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-16 16:36:24,2023-10-16 16:36:28,"4,094s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-16 16:36:28,2023-10-16 16:36:51,"22,523s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:36:29,2023-10-16 16:36:42,"13,052s",PASSED
"setText(findTestObject(""Page_Continente_Online/input_search_text""), ""queijo"")",Chrome 118.0.0.0,,,2023-10-16 16:36:42,2023-10-16 16:36:44,"1,789s",PASSED
"click(findTestObject(""Page_Continente_Online/span_search_item""))",Chrome 118.0.0.0,,,2023-10-16 16:36:44,2023-10-16 16:36:51,"6,881s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-16 16:36:51,2023-10-16 16:37:26,"35,539s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:36:51,2023-10-16 16:37:04,"13,006s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:37:04,2023-10-16 16:37:24,"19,932s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho""))",Chrome 118.0.0.0,,,2023-10-16 16:37:24,2023-10-16 16:37:26,"2,272s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 118.0.0.0,,,2023-10-16 16:37:26,2023-10-16 16:38:15,"48,961s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:37:26,2023-10-16 16:37:40,"13,479s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:37:40,2023-10-16 16:38:13,"32,722s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho_2""))",Chrome 118.0.0.0,,,2023-10-16 16:38:13,2023-10-16 16:38:14,"1,170s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/button_aumentar_quantidade_produto""))",Chrome 118.0.0.0,,,2023-10-16 16:38:14,2023-10-16 16:38:15,"1,251s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-16 16:38:15,2023-10-16 16:39:54,"1m - 39,406s",PASSED
"callTestCase(findTestCase(""Open Google""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:38:15,2023-10-16 16:38:20,"4,709s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:38:20,2023-10-16 16:38:37,"17,110s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:38:37,2023-10-16 16:39:06,"29,193s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:39:06,2023-10-16 16:39:54,"47,373s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_13,37""))",Chrome 118.0.0.0,,,2023-10-16 16:39:54,2023-10-16 16:39:54,"0,430s",PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-16 16:39:54,2023-10-16 16:39:54,"0,397s",PASSED
