Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-16 16:31:57,2023-10-16 16:35:47,"3m - 50,444s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-16 16:31:57,2023-10-16 16:32:13,"15,776s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-16 16:31:58,2023-10-16 16:32:02,"4,418s",PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-16 16:32:02,2023-10-16 16:32:03,"0,396s",PASSED
"navigateToUrl(""www.continente.pt"")",Chrome 118.0.0.0,,,2023-10-16 16:32:03,2023-10-16 16:32:07,"4,191s",PASSED
"click(findTestObject(""Page_Continente_Online/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-16 16:32:07,2023-10-16 16:32:13,"6,213s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-16 16:32:13,2023-10-16 16:32:37,"24,279s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:32:14,2023-10-16 16:32:23,"9,157s",PASSED
"setText(findTestObject(""Page_Continente_Online/input_search_text""), ""queijo"")",Chrome 118.0.0.0,,,2023-10-16 16:32:23,2023-10-16 16:32:29,"6,080s",PASSED
"click(findTestObject(""Page_Continente_Online/span_search_item""))",Chrome 118.0.0.0,,,2023-10-16 16:32:29,2023-10-16 16:32:37,"8,081s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-16 16:32:37,2023-10-16 16:33:08,"31,043s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:32:38,2023-10-16 16:32:45,"7,669s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:32:45,2023-10-16 16:33:06,"20,970s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho""))",Chrome 118.0.0.0,,,2023-10-16 16:33:06,2023-10-16 16:33:08,"2,155s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 118.0.0.0,,,2023-10-16 16:33:08,2023-10-16 16:33:49,"41,069s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:33:09,2023-10-16 16:33:17,"8,256s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:33:17,2023-10-16 16:33:47,"30,095s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho_2""))",Chrome 118.0.0.0,,,2023-10-16 16:33:47,2023-10-16 16:33:49,"1,529s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/button_aumentar_quantidade_produto""))",Chrome 118.0.0.0,,,2023-10-16 16:33:49,2023-10-16 16:33:49,"0,908s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-16 16:33:49,2023-10-16 16:35:47,"1m - 57,687s",PASSED
"callTestCase(findTestCase(""Open Google""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:33:50,2023-10-16 16:33:54,"4,614s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:33:54,2023-10-16 16:34:15,"20,943s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:34:15,2023-10-16 16:35:13,"57,945s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 16:35:13,2023-10-16 16:35:46,"33,186s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_13,37""))",Chrome 118.0.0.0,,,2023-10-16 16:35:46,2023-10-16 16:35:47,"0,451s",PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-16 16:35:47,2023-10-16 16:35:47,"0,415s",PASSED
