Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-13 15:52:25,2023-10-13 15:54:21,"1m - 56,572s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-13 15:52:25,2023-10-13 15:52:31,"5,596s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-13 15:52:25,2023-10-13 15:52:27,"2,156s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 118.0.0.0,,,2023-10-13 15:52:27,2023-10-13 15:52:30,"2,456s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-13 15:52:30,2023-10-13 15:52:31,"0,701s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-13 15:52:31,2023-10-13 15:52:43,"12,325s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:52:31,2023-10-13 15:52:35,"4,412s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 118.0.0.0,,,2023-10-13 15:52:35,2023-10-13 15:52:39,"3,168s",PASSED
"setText(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/input_2023 Modelo Continente Hipermercados,_958617""), ""queijo"")",Chrome 118.0.0.0,,,2023-10-13 15:52:39,2023-10-13 15:52:40,"1,742s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/span_O que procura_svg-wrapper svg-icon-search""))",Chrome 118.0.0.0,,,2023-10-13 15:52:40,2023-10-13 15:52:43,"2,654s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-13 15:52:43,2023-10-13 15:53:04,"20,760s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:52:43,2023-10-13 15:52:50,"6,933s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:52:50,2023-10-13 15:53:02,"11,571s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho""))",Chrome 118.0.0.0,,,2023-10-13 15:53:02,2023-10-13 15:53:04,"2,086s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 118.0.0.0,,,2023-10-13 15:53:04,2023-10-13 15:53:25,"20,985s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:04,2023-10-13 15:53:08,"4,276s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:08,2023-10-13 15:53:22,"13,503s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho_2""))",Chrome 118.0.0.0,,,2023-10-13 15:53:22,2023-10-13 15:53:24,"2,118s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/button_aumentar_quantidade_produto""))",Chrome 118.0.0.0,,,2023-10-13 15:53:24,2023-10-13 15:53:25,"1,006s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-13 15:53:25,2023-10-13 15:54:21,"56,630s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:25,2023-10-13 15:53:29,"3,884s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:29,2023-10-13 15:53:40,"11,390s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:40,2023-10-13 15:53:58,"17,796s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:53:58,2023-10-13 15:54:21,"22,789s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_13,37""))",Chrome 118.0.0.0,,,2023-10-13 15:54:21,2023-10-13 15:54:21,"0,396s",PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 15:54:21,2023-10-13 15:54:21,"0,286s",PASSED
