Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-13 15:41:16,2023-10-13 15:43:19,"2m - 2,150s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-13 15:41:17,2023-10-13 15:41:24,"7,778s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-13 15:41:17,2023-10-13 15:41:19,"2,082s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 118.0.0.0,,,2023-10-13 15:41:19,2023-10-13 15:41:21,"1,733s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-13 15:41:21,2023-10-13 15:41:24,"3,666s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-13 15:41:24,2023-10-13 15:41:41,"16,490s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:41:25,2023-10-13 15:41:32,"6,675s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 118.0.0.0,,,2023-10-13 15:41:32,2023-10-13 15:41:36,"4,273s",PASSED
"setText(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/input_2023 Modelo Continente Hipermercados,_958617""), ""queijo"")",Chrome 118.0.0.0,,,2023-10-13 15:41:36,2023-10-13 15:41:37,"1,021s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/span_O que procura_svg-wrapper svg-icon-search""))",Chrome 118.0.0.0,,,2023-10-13 15:41:37,2023-10-13 15:41:41,"3,868s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-13 15:41:41,2023-10-13 15:42:00,"18,691s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:41:41,2023-10-13 15:41:46,"4,822s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:41:46,2023-10-13 15:41:58,"11,794s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho""))",Chrome 118.0.0.0,,,2023-10-13 15:41:58,2023-10-13 15:42:00,"1,869s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 118.0.0.0,,,2023-10-13 15:42:00,2023-10-13 15:42:19,"19,627s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:00,2023-10-13 15:42:04,"4,308s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:04,2023-10-13 15:42:16,"12,312s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho_2""))",Chrome 118.0.0.0,,,2023-10-13 15:42:16,2023-10-13 15:42:18,"2,075s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/button_aumentar_quantidade_produto""))",Chrome 118.0.0.0,,,2023-10-13 15:42:18,2023-10-13 15:42:19,"0,841s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-13 15:42:19,2023-10-13 15:43:19,"59,279s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:19,2023-10-13 15:42:24,"4,563s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:24,2023-10-13 15:42:36,"11,749s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:36,2023-10-13 15:42:56,"19,984s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:42:56,2023-10-13 15:43:18,"22,202s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_13,37""))",Chrome 118.0.0.0,,,2023-10-13 15:43:18,2023-10-13 15:43:18,"0,410s",PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 15:43:18,2023-10-13 15:43:19,"0,292s",PASSED
