Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Random,,,,2023-10-17 17:17:37,2023-10-17 17:17:54,"17,356s",FAILED
,,,,,,,
Test Cases/TC_08,,,,2023-10-17 17:17:38,2023-10-17 17:17:44,"6,748s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:38,2023-10-17 17:17:44,"6,319s",FAILED
,,,,,,,
Test Cases/TC_07,,,,2023-10-17 17:17:44,2023-10-17 17:17:46,"1,550s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:44,2023-10-17 17:17:46,"1,482s",FAILED
,,,,,,,
Test Cases/TC_06,,,,2023-10-17 17:17:46,2023-10-17 17:17:47,"1,245s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:46,2023-10-17 17:17:47,"1,188s",FAILED
,,,,,,,
Test Cases/TC_05,,,,2023-10-17 17:17:47,2023-10-17 17:17:48,"1,257s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:47,2023-10-17 17:17:48,"1,214s",FAILED
,,,,,,,
Test Cases/TC_04,,,,2023-10-17 17:17:48,2023-10-17 17:17:50,"1,419s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:48,2023-10-17 17:17:50,"1,380s",FAILED
,,,,,,,
Test Cases/TC_03,,,,2023-10-17 17:17:50,2023-10-17 17:17:51,"1,475s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:50,2023-10-17 17:17:51,"1,441s",FAILED
,,,,,,,
Test Cases/TC_02,,,,2023-10-17 17:17:51,2023-10-17 17:17:53,"1,359s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:51,2023-10-17 17:17:53,"1,328s",FAILED
,,,,,,,
Test Cases/TC_01,,,,2023-10-17 17:17:53,2023-10-17 17:17:54,"1,713s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:17:53,2023-10-17 17:17:54,"1,615s",FAILED
