Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Random,,,,2023-10-17 17:12:06,2023-10-17 17:12:23,"17,379s",FAILED
,,,,,,,
Test Cases/TC_08,,,,2023-10-17 17:12:06,2023-10-17 17:12:11,"5,476s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:06,2023-10-17 17:12:11,"5,099s",FAILED
,,,,,,,
Test Cases/TC_07,,,,2023-10-17 17:12:11,2023-10-17 17:12:13,"1,578s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:12,2023-10-17 17:12:13,"1,522s",FAILED
,,,,,,,
Test Cases/TC_06,,,,2023-10-17 17:12:13,2023-10-17 17:12:15,"1,505s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:13,2023-10-17 17:12:15,"1,474s",FAILED
,,,,,,,
Test Cases/TC_05,,,,2023-10-17 17:12:15,2023-10-17 17:12:16,"1,338s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:15,2023-10-17 17:12:16,"1,310s",FAILED
,,,,,,,
Test Cases/TC_04,,,,2023-10-17 17:12:16,2023-10-17 17:12:17,"1,416s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:16,2023-10-17 17:12:17,"1,394s",FAILED
,,,,,,,
Test Cases/TC_03,,,,2023-10-17 17:12:17,2023-10-17 17:12:19,"1,739s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:17,2023-10-17 17:12:19,"1,716s",FAILED
,,,,,,,
Test Cases/TC_02,,,,2023-10-17 17:12:19,2023-10-17 17:12:21,"1,631s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:19,2023-10-17 17:12:21,"1,600s",FAILED
,,,,,,,
Test Cases/TC_01,,,,2023-10-17 17:12:21,2023-10-17 17:12:23,"2,164s",FAILED
"openBrowser("""")",,,,2023-10-17 17:12:21,2023-10-17 17:12:23,"2,028s",FAILED
