Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 117.0.0.0,,,2023-10-10 15:42:00,2023-10-10 15:49:13,"7m - 13,660s",FAILED
,,,,,,,
Test Cases/Show Cart,Chrome 117.0.0.0,,,2023-10-10 15:42:01,2023-10-10 15:46:26,"4m - 25,300s",FAILED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:42:03,2023-10-10 15:42:24,"21,555s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:42:24,2023-10-10 15:43:01,"36,975s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:43:01,2023-10-10 15:44:22,"1m - 20,751s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:44:22,2023-10-10 15:46:26,"2m - 4,199s",FAILED
,,,,,,,
Test Cases/Search Product,Chrome 117.0.0.0,,,2023-10-10 15:46:26,2023-10-10 15:46:56,"29,487s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:46:26,2023-10-10 15:46:40,"13,941s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 117.0.0.0,,,2023-10-10 15:46:40,2023-10-10 15:46:45,"5,027s",PASSED
"setText(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/input_2023 Modelo Continente Hipermercados,_958617""), ""queijo"")",Chrome 117.0.0.0,,,2023-10-10 15:46:45,2023-10-10 15:46:48,"2,162s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/span_O que procura_svg-wrapper svg-icon-search""))",Chrome 117.0.0.0,,,2023-10-10 15:46:48,2023-10-10 15:46:56,"8,332s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 117.0.0.0,,,2023-10-10 15:46:56,2023-10-10 15:47:12,"15,695s",PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-10 15:46:56,2023-10-10 15:47:01,"4,502s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 117.0.0.0,,,2023-10-10 15:47:01,2023-10-10 15:47:04,"3,584s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 117.0.0.0,,,2023-10-10 15:47:04,2023-10-10 15:47:12,"7,559s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 117.0.0.0,,,2023-10-10 15:47:12,2023-10-10 15:48:28,"1m - 15,992s",FAILED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:47:12,2023-10-10 15:47:24,"11,825s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:47:24,2023-10-10 15:47:53,"29,931s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho_2""))",Chrome 117.0.0.0,,,2023-10-10 15:47:53,2023-10-10 15:47:56,"2,400s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/button_Quantidade no carrinho_increase-quan_d2e8f5""))",Chrome 117.0.0.0,,,2023-10-10 15:47:56,2023-10-10 15:48:28,"31,807s",FAILED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 117.0.0.0,,,2023-10-10 15:48:28,2023-10-10 15:49:13,"45,789s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:48:28,2023-10-10 15:48:43,"15,340s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-10 15:48:43,2023-10-10 15:49:11,"27,718s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho""))",Chrome 117.0.0.0,,,2023-10-10 15:49:11,2023-10-10 15:49:13,"2,718s",PASSED
