Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 117.0.0.0,,,2023-10-09 17:22:26,2023-10-09 17:27:55,"5m - 29,384s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 117.0.0.0,,,2023-10-09 17:22:26,2023-10-09 17:25:26,"2m - 59,775s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:22:27,2023-10-09 17:22:51,"23,507s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:22:51,2023-10-09 17:23:29,"38,390s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:23:29,2023-10-09 17:24:29,"59,656s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:24:29,2023-10-09 17:25:23,"54,503s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_13,37""))",Chrome 117.0.0.0,,,2023-10-09 17:25:23,2023-10-09 17:25:25,"1,828s",PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 17:25:25,2023-10-09 17:25:26,"0,922s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 117.0.0.0,,,2023-10-09 17:25:26,2023-10-09 17:25:59,"33,262s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:25:26,2023-10-09 17:25:43,"16,724s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 117.0.0.0,,,2023-10-09 17:25:43,2023-10-09 17:25:46,"2,844s",PASSED
"setText(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/input_2023 Modelo Continente Hipermercados,_958617""), ""queijo"")",Chrome 117.0.0.0,,,2023-10-09 17:25:46,2023-10-09 17:25:47,"1,918s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/span_O que procura_svg-wrapper svg-icon-search""))",Chrome 117.0.0.0,,,2023-10-09 17:25:47,2023-10-09 17:25:59,"11,762s",PASSED
,,,,,,,
Test Cases/Open Continente,Chrome 117.0.0.0,,,2023-10-09 17:25:59,2023-10-09 17:26:20,"21,208s",PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 17:25:59,2023-10-09 17:26:07,"7,575s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 117.0.0.0,,,2023-10-09 17:26:07,2023-10-09 17:26:12,"4,895s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 117.0.0.0,,,2023-10-09 17:26:12,2023-10-09 17:26:20,"8,712s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 117.0.0.0,,,2023-10-09 17:26:20,2023-10-09 17:27:12,"51,709s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:20,2023-10-09 17:26:37,"16,245s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:26:37,2023-10-09 17:27:06,"29,706s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho_2""))",Chrome 117.0.0.0,,,2023-10-09 17:27:06,2023-10-09 17:27:10,"3,882s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/button_Quantidade no carrinho_increase-quan_d2e8f5""))",Chrome 117.0.0.0,,,2023-10-09 17:27:10,2023-10-09 17:27:12,"1,850s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 117.0.0.0,,,2023-10-09 17:27:12,2023-10-09 17:27:55,"42,777s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:27:12,2023-10-09 17:27:23,"11,206s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-09 17:27:23,2023-10-09 17:27:53,"29,730s",PASSED
"click(findTestObject(""Page_Resultados de pesquisa para o termo qu_4d046e/span_Carrinho""))",Chrome 117.0.0.0,,,2023-10-09 17:27:53,2023-10-09 17:27:55,"1,817s",PASSED
