Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-13 15:26:53,2023-10-13 15:27:49,"55,550s",FAILED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-13 15:26:53,2023-10-13 15:27:13,"19,304s",FAILED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:26:54,2023-10-13 15:27:07,"12,838s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:27:07,2023-10-13 15:27:13,"5,823s",FAILED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-13 15:27:13,2023-10-13 15:27:20,"7,578s",FAILED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:27:13,2023-10-13 15:27:20,"7,363s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/svg_EntregaZero_svg-inline icon-search""))",Chrome 118.0.0.0,,,2023-10-13 15:27:20,2023-10-13 15:27:20,"0,130s",FAILED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-13 15:27:20,2023-10-13 15:27:27,"6,321s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-13 15:27:20,2023-10-13 15:27:22,"1,490s",PASSED
"navigateToUrl(""https://www.continente.pt/"")",Chrome 118.0.0.0,,,2023-10-13 15:27:22,2023-10-13 15:27:23,"0,912s",PASSED
"click(findTestObject(""Object Repository/Page_Continente Online  Compras de Supermer_4cd3d9/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-13 15:27:23,2023-10-13 15:27:26,"3,203s",PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 15:27:26,2023-10-13 15:27:27,"0,685s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-13 15:27:27,2023-10-13 15:27:49,"21,899s",FAILED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:27:27,2023-10-13 15:27:38,"10,666s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 15:27:38,2023-10-13 15:27:49,"10,786s",FAILED
