Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Random,,,,2023-10-17 17:13:28,2023-10-17 17:13:45,"17,114s",FAILED
,,,,,,,
Test Cases/TC_08,,,,2023-10-17 17:13:28,2023-10-17 17:13:33,"5,135s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:28,2023-10-17 17:13:33,"4,725s",FAILED
,,,,,,,
Test Cases/TC_07,,,,2023-10-17 17:13:33,2023-10-17 17:13:35,"1,586s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:33,2023-10-17 17:13:35,"1,522s",FAILED
,,,,,,,
Test Cases/TC_06,,,,2023-10-17 17:13:35,2023-10-17 17:13:36,"1,439s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:35,2023-10-17 17:13:36,"1,404s",FAILED
,,,,,,,
Test Cases/TC_05,,,,2023-10-17 17:13:36,2023-10-17 17:13:38,"1,559s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:36,2023-10-17 17:13:38,"1,496s",FAILED
,,,,,,,
Test Cases/TC_04,,,,2023-10-17 17:13:38,2023-10-17 17:13:39,"1,620s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:38,2023-10-17 17:13:39,"1,574s",FAILED
,,,,,,,
Test Cases/TC_03,,,,2023-10-17 17:13:40,2023-10-17 17:13:41,"1,965s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:40,2023-10-17 17:13:41,"1,924s",FAILED
,,,,,,,
Test Cases/TC_02,,,,2023-10-17 17:13:41,2023-10-17 17:13:43,"1,470s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:42,2023-10-17 17:13:43,"1,435s",FAILED
,,,,,,,
Test Cases/TC_01,,,,2023-10-17 17:13:43,2023-10-17 17:13:45,"1,880s",FAILED
"openBrowser("""")",,,,2023-10-17 17:13:43,2023-10-17 17:13:45,"1,771s",FAILED
