Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Continente,Chrome 118.0.0.0,,,2023-10-16 14:41:25,2023-10-16 14:44:44,"3m - 18,787s",FAILED
,,,,,,,
Test Cases/Open Continente,Chrome 118.0.0.0,,,2023-10-16 14:41:25,2023-10-16 14:41:38,"12,194s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-16 14:41:26,2023-10-16 14:41:28,"2,589s",PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-16 14:41:28,2023-10-16 14:41:29,"0,200s",PASSED
"navigateToUrl(""www.continente.pt"")",Chrome 118.0.0.0,,,2023-10-16 14:41:29,2023-10-16 14:41:32,"3,566s",PASSED
"click(findTestObject(""Page_Continente_Online/button_Permitir todos""))",Chrome 118.0.0.0,,,2023-10-16 14:41:32,2023-10-16 14:41:33,"0,774s",PASSED
"takeScreenshotAsCheckpoint(""screenshot"", CONTINUE_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:41:33,2023-10-16 14:41:38,"4,644s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 118.0.0.0,,,2023-10-16 14:41:38,2023-10-16 14:41:54,"16,339s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:41:38,2023-10-16 14:41:47,"9,649s",PASSED
"setText(findTestObject(""Page_Continente_Online/input_search_text""), ""queijo"")",Chrome 118.0.0.0,,,2023-10-16 14:41:47,2023-10-16 14:41:48,"0,747s",PASSED
"click(findTestObject(""Page_Continente_Online/span_search_item""))",Chrome 118.0.0.0,,,2023-10-16 14:41:48,2023-10-16 14:41:51,"3,019s",PASSED
"takeScreenshotAsCheckpoint(""screenshot"")",Chrome 118.0.0.0,,,2023-10-16 14:41:51,2023-10-16 14:41:54,"2,781s",PASSED
,,,,,,,
Test Cases/Add 1 Item to Cart,Chrome 118.0.0.0,,,2023-10-16 14:41:54,2023-10-16 14:42:22,"28,294s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:41:54,2023-10-16 14:42:04,"9,551s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:42:04,2023-10-16 14:42:20,"16,458s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho""))",Chrome 118.0.0.0,,,2023-10-16 14:42:20,2023-10-16 14:42:21,"0,570s",PASSED
"takeScreenshotAsCheckpoint(""screenshot"")",Chrome 118.0.0.0,,,2023-10-16 14:42:21,2023-10-16 14:42:22,"1,585s",PASSED
,,,,,,,
Test Cases/Add 2 Items to Cart,Chrome 118.0.0.0,,,2023-10-16 14:42:22,2023-10-16 14:43:08,"45,818s",PASSED
"callTestCase(findTestCase(""Open Continente""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:42:22,2023-10-16 14:42:32,"9,830s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:42:32,2023-10-16 14:43:06,"33,785s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_Carrinho_2""))",Chrome 118.0.0.0,,,2023-10-16 14:43:06,2023-10-16 14:43:06,"0,394s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/button_aumentar_quantidade_produto""))",Chrome 118.0.0.0,,,2023-10-16 14:43:06,2023-10-16 14:43:07,"0,931s",PASSED
"takeScreenshotAsCheckpoint(""screenshot"")",Chrome 118.0.0.0,,,2023-10-16 14:43:07,2023-10-16 14:43:08,"0,780s",PASSED
,,,,,,,
Test Cases/Show Cart,Chrome 118.0.0.0,,,2023-10-16 14:43:08,2023-10-16 14:44:44,"1m - 35,810s",FAILED
"callTestCase(findTestCase(""Open Google""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:43:08,2023-10-16 14:43:11,"3,295s",PASSED
"callTestCase(findTestCase(""Search Product""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:43:11,2023-10-16 14:43:32,"20,671s",PASSED
"callTestCase(findTestCase(""Add 1 Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:43:32,2023-10-16 14:44:00,"27,854s",PASSED
"callTestCase(findTestCase(""Add 2 Items to Cart""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-16 14:44:00,2023-10-16 14:44:43,"42,933s",PASSED
"click(findTestObject(""Page_Resultados_de_pesquisa/span_13,37""))",Chrome 118.0.0.0,,,2023-10-16 14:44:43,2023-10-16 14:44:44,"0,952s",FAILED
